#####################################################################
# Alchemist log file - simulation started at: 2023-05-15T02:57+0000 #
#####################################################################
#
# device_count = 1000.0, battery_discharge_time = 6, low_battery_threshold = 30, high_battery_threshold = 70, epi_ratio = 30, cloud_epi = 300, seed = 1.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] isMoving[sum] distance[sum] distance[mean] cloudCost instances 
0.0000 1000.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 1000.0 0.0000 0.0000 0.0000 0.0000
0.0000 1000.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 1000.0 0.0000 0.0000 0.0000 0.0000
120.00 777.0 223.0 54.174 3605.6 20604 24206 0.0 1000.0 166.58 0.16658 20.800 104.00
240.00 767.0 233.0 53.366 3586.8 21625 25218 0.0 1000.0 334.58 0.33458 21.800 109.00
360.00 756.0 244.0 52.563 3573.0 22646 26214 0.0 1000.0 502.58 0.50258 22.800 114.00
480.00 745.0 255.0 51.765 3539.5 23667 27214 0.0 1000.0 670.58 0.67058 23.800 119.00
600.00 733.0 267.0 50.971 3524.9 24781 28312 0.0 1000.0 838.58 0.83858 24.800 124.00
720.00 718.0 282.0 50.182 3506.1 26173 29672 0.0 1000.0 1006.6 1.0066 26.200 131.00
840.00 709.0 291.0 49.399 3497.6 27008 30505 0.0 1000.0 1174.6 1.1746 27.200 136.00
960.00 705.0 295.0 48.618 3472.7 27380 30854 0.0 1000.0 1342.6 1.3426 27.400 137.00
1080.0 696.0 304.0 47.840 3454.0 28215 31668 0.0 1000.0 1510.6 1.5106 28.400 142.00
1200.0 687.0 313.0 47.066 3436.3 29050 32486 0.0 1000.0 1678.6 1.6786 29.200 146.00
1320.0 680.0 320.0 46.295 3422.3 29700 33125 0.0 1000.0 1846.6 1.8466 29.800 149.00
1440.0 669.0 331.0 45.528 3410.1 30721 34127 0.0 1000.0 2014.6 2.0146 30.800 154.00
1560.0 664.0 336.0 44.763 3395.1 31185 34579 0.0 1000.0 2182.6 2.1826 31.200 156.00
1680.0 649.0 351.0 44.003 3370.0 32577 35956 0.0 1000.0 2350.6 2.3506 32.600 163.00
1800.0 642.0 358.0 43.248 3350.7 33227 36582 0.0 1000.0 2518.6 2.5186 33.400 167.00
1920.0 633.0 367.0 42.496 3339.7 34062 37398 0.0 1000.0 2686.6 2.6866 34.200 171.00
2040.0 622.0 378.0 41.748 3326.3 34990 38310 0.0 1000.0 2854.6 2.8546 35.000 175.00
2160.0 610.0 390.0 41.005 3294.4 36197 39497 0.0 1000.0 3022.6 3.0226 36.200 181.00
2280.0 597.0 403.0 40.267 3266.5 37403 40671 0.0 1000.0 3190.6 3.1906 37.600 188.00
2400.0 586.0 414.0 39.534 3251.1 38424 41689 0.0 1000.0 3358.6 3.3586 38.600 193.00
2520.0 576.0 424.0 38.805 3241.1 39353 42585 0.0 1000.0 3526.6 3.5266 39.400 197.00
2640.0 565.0 435.0 38.081 3206.2 40373 43586 0.0 1000.0 3694.6 3.6946 40.400 202.00
2760.0 549.0 451.0 37.363 3187.0 41673 44855 0.0 1000.0 3862.5 3.8625 41.800 209.00
2880.0 537.0 463.0 36.654 3155.4 42044 45190 0.0 1000.0 4029.2 4.0292 42.200 211.00
3000.0 528.0 472.0 35.952 3121.7 42879 46002 1.0 999.0 4195.5 4.1955 43.000 215.00
3120.0 518.0 482.0 35.258 3091.4 43343 46442 1.0 999.0 4361.5 4.3615 43.400 217.00
3240.0 506.0 494.0 34.572 3072.1 44179 47245 2.0 998.0 4526.6 4.5266 44.200 221.00
3360.0 493.0 507.0 33.894 3021.3 44550 47574 2.0 998.0 4691.0 4.6910 44.600 223.00
3480.0 483.0 517.0 33.227 3000.2 45014 48011 4.0 996.0 4854.0 4.8540 45.200 226.00
3600.0 472.0 528.0 32.574 2963.0 45664 48623 5.0 995.0 5016.3 5.0163 45.800 229.00
3720.0 465.0 535.0 31.932 2932.7 45385 48314 6.0 994.0 5177.4 5.1774 45.400 227.00
3840.0 457.0 543.0 31.298 2905.4 45664 48564 7.0 993.0 5337.2 5.3372 45.800 229.00
3960.0 451.0 549.0 30.672 2886.4 45757 48641 9.0 991.0 5496.3 5.4963 45.800 229.00
4080.0 434.0 566.0 30.059 2843.3 47149 49990 9.0 991.0 5654.8 5.6548 47.200 236.00
4200.0 421.0 579.0 29.456 2795.8 47520 50322 9.0 991.0 5812.0 5.8120 47.600 238.00
4320.0 415.0 585.0 28.860 2773.4 47427 50194 9.0 991.0 5968.0 5.9680 47.600 238.00
4440.0 401.0 599.0 28.273 2749.3 48355 51107 11.0 989.0 6123.2 6.1232 48.400 242.00
4560.0 392.0 608.0 27.702 2704.2 48355 51060 13.0 987.0 6277.5 6.2775 48.400 242.00
4680.0 381.0 619.0 27.147 2679.2 49098 51784 17.0 983.0 6430.6 6.4306 49.200 246.00
4800.0 367.0 633.0 26.607 2640.3 49933 52573 18.0 982.0 6583.2 6.5832 50.000 250.00
4920.0 355.0 645.0 26.091 2600.8 50490 53092 28.0 973.0 6734.9 6.7349 50.600 253.00
5040.0 350.0 650.0 25.610 2563.5 49840 52410 33.0 967.0 6885.2 6.8852 50.000 250.00
5160.0 339.0 661.0 25.150 2518.7 49748 52272 33.0 967.0 7032.9 7.0329 49.800 249.00
5280.0 326.0 674.0 24.706 2489.0 50676 53163 38.0 962.0 7179.7 7.1797 50.800 254.00
5400.0 313.0 687.0 24.275 2472.5 51604 54071 38.0 962.0 7326.1 7.3261 51.800 259.00
5520.0 304.0 696.0 23.863 2424.1 51697 54121 42.0 958.0 7471.6 7.4716 51.800 259.00
5640.0 294.0 706.0 23.474 2385.9 52253 54644 49.0 951.0 7615.7 7.6157 52.400 262.00
5760.0 286.0 714.0 23.103 2360.1 52625 54988 51.0 949.0 7759.0 7.7590 52.800 264.00
5880.0 277.0 723.0 22.755 2350.6 53274 55626 55.0 945.0 7901.7 7.9017 53.400 267.00
6000.0 268.0 732.0 22.426 2319.1 54017 56336 60.0 940.0 8044.2 8.0442 54.200 271.00
6120.0 249.0 751.0 22.119 2282.9 55780 58066 64.0 936.0 8186.4 8.1864 55.800 279.00
6240.0 242.0 758.0 21.826 2259.4 55966 58225 66.0 934.0 8328.1 8.3281 56.000 280.00
6360.0 235.0 765.0 21.548 2235.9 56244 58482 71.0 929.0 8468.9 8.4689 56.400 282.00
6480.0 226.0 774.0 21.291 2221.1 56987 59211 74.0 926.0 8608.9 8.6089 57.000 285.00
6600.0 219.0 781.0 21.049 2171.0 56801 58975 79.0 921.0 8747.8 8.7478 57.000 285.00
6720.0 211.0 789.0 20.834 2156.1 56894 59049 81.0 919.0 8885.4 8.8854 57.000 285.00
6840.0 203.0 797.0 20.629 2129.0 57358 59493 84.0 916.0 9022.2 9.0222 57.400 287.00
6960.0 195.0 805.0 20.436 2110.9 57729 59837 86.0 914.0 9158.3 9.1583 57.800 289.00
7080.0 186.0 814.0 20.254 2086.0 58472 60551 88.0 912.0 9293.9 9.2939 58.600 293.00
7200.0 181.0 819.0 20.093 2052.9 58565 60620 93.0 907.0 9428.8 9.4288 58.600 293.00
7320.0 171.0 829.0 19.938 2035.2 59400 61432 92.0 908.0 9562.8 9.5628 59.400 297.00
7440.0 167.0 833.0 19.800 2018.8 60050 62066 96.0 904.0 9696.3 9.6963 60.200 301.00
7560.0 162.0 838.0 19.676 1972.6 60050 62017 98.0 902.0 9828.4 9.8284 60.200 301.00
7680.0 155.0 845.0 19.562 1958.3 59678 61635 98.0 902.0 9958.8 9.9588 59.800 299.00
7800.0 143.0 857.0 19.456 1902.2 60235 62140 98.0 902.0 10087 10.087 60.400 302.00
7920.0 138.0 862.0 19.354 1889.1 59678 61570 97.0 903.0 10215 10.215 59.800 299.00
8040.0 133.0 867.0 19.251 1860.0 59214 61072 98.0 902.0 10341 10.341 59.400 297.00
8160.0 129.0 871.0 19.167 1831.9 59122 60955 102.0 898.0 10465 10.465 59.200 296.00
8280.0 119.0 881.0 19.100 1803.0 59586 61379 105.0 895.0 10588 10.588 59.600 298.00
8400.0 114.0 886.0 19.058 1785.5 59957 61744 110.0 890.0 10711 10.711 60.000 300.00
8520.0 113.0 887.0 19.029 1781.0 59864 61643 108.0 892.0 10833 10.833 60.000 300.00
8640.0 111.0 889.0 18.993 1762.2 59400 61154 114.0 886.0 10955 10.955 59.400 297.00
8760.0 101.0 899.0 18.994 1717.3 59586 61306 120.0 880.0 11075 11.075 59.600 298.00
8880.0 97.0 903.0 19.016 1702.8 59957 61664 122.0 878.0 11194 11.194 60.000 300.00
9000.0 88.0 912.0 19.051 1688.9 60328 62014 124.0 876.0 11314 11.314 60.400 302.00
9120.0 83.0 917.0 19.098 1649.4 59957 61605 131.0 869.0 11432 11.432 60.000 300.00
9240.0 79.0 921.0 19.166 1629.2 59864 61496 132.0 868.0 11549 11.549 60.000 300.00
9360.0 76.0 924.0 19.237 1625.0 59864 61486 127.0 873.0 11666 11.666 60.000 300.00
9480.0 78.0 922.0 19.308 1622.2 58658 60273 134.0 866.0 11781 11.781 58.800 294.00
9600.0 82.0 918.0 19.399 1611.7 57637 59246 138.0 862.0 11894 11.894 57.800 289.00
9720.0 87.0 913.0 19.514 1595.4 56430 58025 145.0 855.0 12007 12.007 56.600 283.00
9840.0 90.0 910.0 19.640 1587.3 55595 57182 149.0 851.0 12118 12.118 55.600 278.00
9960.0 95.0 905.0 19.794 1571.1 54759 56326 157.0 843.0 12228 12.228 54.800 274.00
10080 97.0 903.0 19.976 1546.1 53553 55103 162.0 838.0 12336 12.336 53.600 268.00
10200 101.0 899.0 20.169 1541.0 52253 53806 162.0 838.0 12444 12.444 52.400 262.00
10320 103.0 897.0 20.363 1534.2 51140 52676 161.0 839.0 12550 12.550 51.200 256.00
10440 105.0 895.0 20.570 1517.9 50304 51825 171.0 829.0 12654 12.654 50.400 252.00
10560 110.0 890.0 20.814 1521.0 49562 51084 177.0 822.0 12758 12.758 49.600 248.00
10680 117.0 883.0 21.083 1513.6 48263 49781 182.0 818.0 12860 12.860 48.400 242.00
10800 123.0 877.0 21.367 1501.5 47520 49018 189.0 811.0 12960 12.960 47.600 238.00
10920 129.0 871.0 21.665 1491.9 46685 48174 188.0 812.0 13059 13.059 46.800 234.00
11040 131.0 869.0 21.958 1477.1 45571 47048 191.0 810.0 13157 13.157 45.600 228.00
11160 136.0 864.0 22.264 1485.9 45107 46590 194.0 807.0 13254 13.254 45.200 226.00
11280 145.0 855.0 22.587 1484.9 44643 46131 201.0 799.0 13351 13.351 44.800 224.00
11400 151.0 849.0 22.938 1479.3 43808 45285 206.0 794.0 13448 13.448 44.000 220.00
11520 158.0 842.0 23.307 1468.1 42508 43979 212.0 788.0 13542 13.542 42.600 213.00
11640 166.0 834.0 23.680 1474.3 41394 42875 210.0 790.0 13636 13.636 41.400 207.00
11760 170.0 830.0 24.053 1499.4 40652 42143 212.0 788.0 13729 13.729 40.800 204.00
11880 172.0 828.0 24.426 1487.4 39445 40931 214.0 786.0 13820 13.820 39.600 198.00
12000 184.0 816.0 24.802 1489.4 38424 39909 216.0 784.0 13911 13.911 38.600 193.00
12120 191.0 809.0 25.196 1468.9 37496 38969 219.0 781.0 14002 14.002 37.600 188.00
12240 200.0 800.0 25.592 1488.6 36383 37864 218.0 781.0 14091 14.091 36.400 182.00
12360 207.0 793.0 25.985 1495.4 35547 37041 223.0 777.0 14178 14.178 35.600 178.00
