#####################################################################
# Alchemist log file - simulation started at: 2023-05-14T18:03+0000 #
#####################################################################
#
# device_count = 1000.0, battery_discharge_time = 6, low_battery_threshold = 30, high_battery_threshold = 70, epi_ratio = 30, cloud_epi = 300, seed = 3.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] cloudCost instances 
0.0000 1000.0 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 1000.0 0.0000 100.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
120.00 773.00 227.00 54.454 3603.7 21068 24677 0.0000 21.200 106.00
240.00 759.00 241.00 53.648 3580.4 22368 25950 0.0000 22.400 112.00
360.00 749.00 251.00 52.848 3555.8 23296 26863 0.0000 23.400 117.00
480.00 736.00 264.00 52.053 3531.4 24503 28037 0.0000 24.600 123.00
600.00 728.00 272.00 51.262 3519.1 25245 28769 0.0000 25.400 127.00
720.00 719.00 281.00 50.475 3493.3 26080 29579 0.0000 26.200 131.00
840.00 710.00 290.00 49.691 3477.4 26916 30395 0.0000 27.000 135.00
960.00 699.00 301.00 48.912 3466.5 27937 31393 0.0000 28.000 140.00
1080.0 690.00 310.00 48.136 3449.7 28772 32218 0.0000 28.800 144.00
1200.0 680.00 320.00 47.365 3429.5 29700 33130 0.0000 29.800 149.00
1320.0 670.00 330.00 46.598 3413.4 30535 33948 0.0000 30.600 153.00
1440.0 653.00 347.00 45.836 3367.5 32206 35576 0.0000 32.400 162.00
1560.0 639.00 361.00 45.082 3352.0 33413 36762 0.0000 33.600 168.00
1680.0 626.00 374.00 44.331 3328.3 34712 38038 0.0000 34.800 174.00
1800.0 617.00 383.00 43.586 3309.1 35547 38860 0.0000 35.600 178.00
1920.0 606.00 394.00 42.846 3288.2 36568 39860 0.0000 36.600 183.00
2040.0 602.00 397.00 42.112 3284.7 36847 40128 1.0000 37.000 185.00
2160.0 591.00 408.00 41.381 3262.3 37868 41127 1.0000 38.000 190.00
2280.0 580.00 419.00 40.655 3233.2 38888 42123 1.0000 39.000 195.00
2400.0 573.00 422.00 39.938 3214.5 39167 42381 5.0000 39.200 196.00
2520.0 564.00 429.00 39.240 3193.8 39817 43018 7.0000 40.000 200.00
2640.0 550.00 441.00 38.555 3168.3 40930 44099 9.0000 41.000 205.00
2760.0 542.00 447.00 37.878 3157.2 41487 44641 11.000 41.600 208.00
2880.0 528.00 449.00 37.229 3093.4 41580 44684 23.000 41.600 208.00
3000.0 518.00 455.00 36.617 3064.0 42230 45302 27.000 42.400 212.00
3120.0 505.00 464.00 36.029 3033.4 43065 46100 31.000 43.200 216.00
3240.0 494.00 472.00 35.458 3013.8 43808 46807 34.000 44.000 220.00
3360.0 481.00 475.00 34.919 2960.9 44086 47055 44.000 44.200 221.00
3480.0 463.00 484.00 34.423 2901.7 44921 47826 53.000 45.000 225.00
3600.0 455.00 486.00 33.961 2878.8 45107 47993 59.000 45.200 226.00
3720.0 447.00 489.00 33.523 2861.0 45385 48243 64.000 45.400 227.00
3840.0 441.00 489.00 33.106 2833.0 45385 48220 70.000 45.400 227.00
3960.0 438.00 490.00 32.708 2828.9 45478 48300 72.000 45.600 228.00
4080.0 434.00 485.00 32.337 2792.2 45014 47804 82.000 45.200 226.00
4200.0 420.00 497.00 31.986 2766.0 46128 48896 83.000 46.200 231.00
4320.0 417.00 495.00 31.654 2737.7 45942 48685 89.000 46.000 230.00
4440.0 409.00 500.00 31.340 2717.8 46406 49129 92.000 46.600 233.00
4560.0 396.00 507.00 31.052 2689.5 47056 49744 98.000 47.200 236.00
4680.0 387.00 514.00 30.783 2674.9 47706 50375 100.00 47.800 239.00
4800.0 385.00 510.00 30.539 2630.8 47242 49871 111.00 47.400 237.00
4920.0 380.00 514.00 30.326 2610.6 47706 50323 113.00 47.800 239.00
5040.0 365.00 528.00 30.121 2586.8 48912 51495 115.00 49.000 245.00
5160.0 359.00 529.00 29.929 2562.4 49098 51656 119.00 49.200 246.00
5280.0 352.00 533.00 29.766 2527.4 49469 51995 126.00 49.600 248.00
5400.0 357.00 533.00 29.629 2498.2 49469 51969 132.00 49.600 248.00
5520.0 348.00 543.00 29.516 2463.6 50397 52869 135.00 50.400 252.00
5640.0 341.00 550.00 29.412 2468.4 51047 53504 134.00 51.200 256.00
5760.0 340.00 554.00 29.315 2436.2 51418 53861 137.00 51.600 258.00
5880.0 343.00 554.00 29.226 2431.1 51418 53851 139.00 51.600 258.00
6000.0 341.00 557.00 29.124 2459.8 51697 54153 133.00 51.800 259.00
6120.0 338.00 564.00 29.012 2447.2 52346 54794 131.00 52.400 262.00
6240.0 330.00 570.00 28.906 2427.5 52810 55235 133.00 53.000 265.00
6360.0 320.00 579.00 28.807 2403.2 53646 56044 135.00 53.800 269.00
6480.0 312.00 587.00 28.712 2388.1 54481 56873 135.00 54.600 273.00
6600.0 310.00 590.00 28.629 2379.8 54759 57135 135.00 54.800 274.00
6720.0 304.00 593.00 28.563 2364.5 55038 57408 138.00 55.200 276.00
6840.0 301.00 591.00 28.492 2374.0 54852 57227 137.00 55.000 275.00
6960.0 294.00 594.00 28.424 2366.5 55131 57489 139.00 55.200 276.00
7080.0 289.00 598.00 28.362 2342.6 55409 57756 142.00 55.600 278.00
7200.0 284.00 598.00 28.316 2323.8 55502 57833 146.00 55.600 278.00
7320.0 276.00 606.00 28.279 2297.0 56244 58548 146.00 56.400 282.00
7440.0 268.00 605.00 28.264 2280.4 56152 58437 153.00 56.200 281.00
7560.0 264.00 602.00 28.264 2271.8 55873 58149 156.00 56.000 280.00
7680.0 258.00 606.00 28.285 2240.9 56244 58483 162.00 56.400 282.00
7800.0 256.00 597.00 28.342 2212.2 55409 57626 173.00 55.600 278.00
7920.0 252.00 591.00 28.451 2166.8 54852 57013 187.00 55.000 275.00
8040.0 245.00 596.00 28.590 2155.5 55316 57472 190.00 55.400 277.00
8160.0 238.00 597.00 28.756 2126.2 55409 57531 195.00 55.600 278.00
8280.0 235.00 598.00 28.927 2111.3 55409 57526 198.00 55.600 278.00
