#####################################################################
# Alchemist log file - simulation started at: 2023-05-15T21:00+0000 #
#####################################################################
#
# device_count = 1000, battery_discharge_time = 6, balance = [20, 60], epi_ratio = 3, cloud_epi = 3, seed = 3.0
#
# The columns have the following meaning: 
# time behaviourInDevice[sum] behaviourInCloud[sum] batteryPercentage[mean] batteryConsumption[sum] cloudConsumption[sum] totalConsumption[sum] isCharging[sum] isMoving[sum] distance[sum] distance[mean] cloudCost instances 
0.0000 1000.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 1000.0 0.0000 0.0000 0.0000 0.0000
0.0000 1000.0 0.0 100.00 0.0000 0.0000 0.0000 0.0 1000.0 0.0000 0.0000 0.0000 0.0000
120.00 899.0 101.0 54.281 3837.6 937.41 4779.8 0.0 1000.0 166.26 0.16626 1.0000 5.0000
240.00 885.0 115.0 53.423 3816.2 1067.3 4878.0 0.0 1000.0 331.21 0.33121 1.2000 6.0000
360.00 876.0 124.0 52.571 3786.3 1150.9 4941.6 0.0 1000.0 491.13 0.49113 1.2000 6.0000
480.00 868.0 132.0 51.721 3780.6 1225.1 5009.7 0.0 1000.0 643.80 0.64380 1.4000 7.0000
600.00 854.0 146.0 50.876 3746.6 1355.1 5096.4 0.0 1000.0 787.29 0.78729 1.4000 7.0000
720.00 837.0 163.0 50.037 3722.2 1503.6 5215.9 0.0 1000.0 920.44 0.92044 1.6000 8.0000
840.00 826.0 174.0 49.204 3707.6 1596.4 5311.1 0.0 1000.0 1045.6 1.0456 1.6000 8.0000
960.00 813.0 187.0 48.377 3670.6 1735.6 5410.5 0.0 1000.0 1162.3 1.1623 1.8000 9.0000
1080.0 799.0 201.0 47.555 3650.4 1865.5 5520.5 0.0 1000.0 1273.0 1.2730 2.0000 10.000
1200.0 781.0 219.0 46.739 3615.7 2032.6 5651.6 0.0 1000.0 1381.5 1.3815 2.2000 11.000
1320.0 766.0 234.0 45.931 3584.2 2171.8 5761.2 0.0 1000.0 1486.7 1.4867 2.2000 11.000
1440.0 760.0 240.0 45.127 3579.7 2227.5 5795.6 0.0 1000.0 1591.8 1.5918 2.4000 12.000
1560.0 751.0 249.0 44.326 3554.9 2311.0 5864.6 0.0 1000.0 1695.7 1.6957 2.4000 12.000
1680.0 747.0 253.0 43.528 3555.5 2348.2 5901.8 0.0 1000.0 1805.7 1.8057 2.4000 12.000
1800.0 733.0 267.0 42.734 3516.2 2478.1 5994.6 0.0 1000.0 1920.8 1.9208 2.6000 13.000
1920.0 725.0 275.0 41.945 3510.6 2552.3 6064.8 0.0 1000.0 2037.9 2.0379 2.6000 13.000
2040.0 715.0 285.0 41.159 3485.7 2645.2 6135.3 0.0 1000.0 2152.2 2.1522 2.8000 14.000
2160.0 705.0 295.0 40.377 3481.1 2738.0 6211.6 0.0 1000.0 2264.0 2.2640 2.8000 14.000
2280.0 695.0 305.0 39.599 3453.2 2830.8 6288.3 0.0 1000.0 2374.8 2.3748 3.0000 15.000
2400.0 687.0 313.0 38.824 3438.4 2905.0 6337.7 0.0 1000.0 2486.8 2.4868 3.0000 15.000
2520.0 679.0 321.0 38.054 3418.8 2979.3 6405.1 0.0 1000.0 2598.6 2.5986 3.0000 15.000
2640.0 669.0 331.0 37.287 3402.6 3072.1 6475.5 0.0 1000.0 2708.9 2.7089 3.2000 16.000
2760.0 662.0 338.0 36.523 3400.6 3137.1 6533.4 0.0 1000.0 2817.9 2.8179 3.2000 16.000
2880.0 652.0 348.0 35.764 3361.1 3211.3 6577.7 0.0 1000.0 2926.4 2.9264 3.4000 17.000
3000.0 634.0 366.0 35.012 3328.6 3322.7 6637.3 0.0 1000.0 3035.3 3.0353 3.4000 17.000
3120.0 626.0 374.0 34.267 3305.0 3369.1 6674.4 0.0 1000.0 3146.3 3.1463 3.4000 17.000
3240.0 614.0 386.0 33.530 3275.0 3452.6 6723.7 0.0 1000.0 3256.1 3.2561 3.6000 18.000
3360.0 600.0 400.0 32.800 3230.0 3536.2 6761.0 0.0 1000.0 3368.4 3.3684 3.6000 18.000
3480.0 591.0 409.0 32.076 3216.3 3573.3 6785.4 0.0 1000.0 3481.9 3.4819 3.6000 18.000
3600.0 583.0 417.0 31.358 3191.5 3610.4 6801.4 0.0 1000.0 3596.3 3.5963 3.8000 19.000
3720.0 576.0 424.0 30.647 3157.0 3610.4 6776.2 1.0 999.0 3708.6 3.7086 3.8000 19.000
3840.0 568.0 432.0 29.945 3131.5 3610.4 6737.5 1.0 999.0 3818.7 3.8187 3.8000 19.000
3960.0 560.0 440.0 29.250 3109.8 3629.0 6733.1 1.0 999.0 3926.0 3.9260 3.8000 19.000
4080.0 555.0 445.0 28.563 3072.6 3601.1 6670.1 2.0 998.0 4031.2 4.0312 3.8000 19.000
4200.0 534.0 466.0 27.892 3027.5 3731.1 6753.6 4.0 996.0 4134.8 4.1348 3.8000 19.000
4320.0 519.0 481.0 27.238 2978.5 3814.6 6794.7 9.0 991.0 4238.1 4.2381 4.0000 20.000
4440.0 508.0 492.0 26.608 2947.4 3861.0 6808.0 12.0 988.0 4340.6 4.3406 4.0000 20.000
4560.0 499.0 501.0 25.993 2923.1 3898.1 6826.9 14.0 986.0 4441.9 4.4419 4.0000 20.000
4680.0 489.0 511.0 25.393 2900.1 3990.9 6895.8 18.0 982.0 4543.4 4.5434 4.0000 20.000
4800.0 475.0 525.0 24.821 2862.8 4065.2 6920.9 24.0 976.0 4647.4 4.6474 4.2000 21.000
4920.0 467.0 533.0 24.270 2831.6 4083.8 6917.1 29.0 971.0 4750.3 4.7503 4.2000 21.000
5040.0 460.0 540.0 23.744 2807.8 4065.2 6864.0 33.0 967.0 4853.1 4.8531 4.2000 21.000
5160.0 457.0 543.0 23.230 2769.1 3963.1 6730.1 33.0 967.0 4955.4 4.9554 4.0000 20.000
5280.0 444.0 556.0 22.733 2718.2 4018.8 6741.4 37.0 963.0 5056.2 5.0562 4.2000 21.000
5400.0 436.0 564.0 22.250 2692.8 4018.8 6705.4 38.0 962.0 5153.7 5.1537 4.2000 21.000
5520.0 427.0 573.0 21.789 2644.3 3963.1 6603.4 44.0 956.0 5247.9 5.2479 4.0000 20.000
5640.0 418.0 582.0 21.351 2597.1 3944.5 6543.0 47.0 953.0 5342.4 5.3424 4.0000 20.000
5760.0 403.0 597.0 20.935 2557.0 3963.1 6518.2 49.0 951.0 5436.8 5.4368 4.0000 20.000
5880.0 396.0 604.0 20.536 2489.8 3888.8 6382.5 51.0 949.0 5530.0 5.5300 4.0000 20.000
6000.0 384.0 616.0 20.156 2435.2 3870.3 6316.2 54.0 946.0 5622.5 5.6225 4.0000 20.000
6120.0 377.0 623.0 19.798 2392.5 3786.8 6195.3 57.0 943.0 5714.6 5.7146 3.8000 19.000
6240.0 370.0 630.0 19.458 2348.5 3712.5 6063.6 60.0 940.0 5805.1 5.8051 3.8000 19.000
6360.0 364.0 636.0 19.144 2320.2 3740.3 6058.0 64.0 936.0 5892.1 5.8921 3.8000 19.000
6480.0 355.0 645.0 18.854 2280.8 3758.9 6035.6 73.0 928.0 5976.7 5.9767 3.8000 19.000
6600.0 353.0 647.0 18.595 2256.2 3768.2 6022.3 77.0 923.0 6060.5 6.0605 3.8000 19.000
6720.0 351.0 649.0 18.360 2216.5 3656.8 5864.7 83.0 917.0 6142.0 6.1420 3.8000 19.000
6840.0 339.0 661.0 18.167 2167.1 3749.6 5918.1 92.0 908.0 6223.8 6.2238 3.8000 19.000
6960.0 335.0 665.0 18.005 2124.4 3758.9 5889.0 100.0 900.0 6305.4 6.3054 3.8000 19.000
7080.0 335.0 665.0 17.875 2116.6 3740.3 5857.3 106.0 894.0 6384.5 6.3845 3.8000 19.000
7200.0 326.0 674.0 17.758 2076.9 3749.6 5823.5 108.0 892.0 6463.6 6.4636 3.8000 19.000
7320.0 320.0 680.0 17.666 2050.0 3740.3 5793.2 116.0 885.0 6541.7 6.5417 3.8000 19.000
7440.0 311.0 689.0 17.608 2021.5 3768.2 5797.1 121.0 879.0 6618.9 6.6189 3.8000 19.000
7560.0 300.0 700.0 17.577 1984.7 3786.8 5771.7 130.0 870.0 6695.5 6.6955 3.8000 19.000
7680.0 290.0 710.0 17.583 1961.2 3879.6 5834.1 141.0 859.0 6771.1 6.7711 4.0000 20.000
7800.0 284.0 716.0 17.631 1915.9 3851.7 5765.5 150.0 850.0 6847.5 6.8475 4.0000 20.000
7920.0 275.0 725.0 17.701 1879.2 3796.0 5680.1 151.0 849.0 6921.9 6.9219 3.8000 19.000
8040.0 264.0 736.0 17.790 1857.1 3851.7 5710.7 154.0 846.0 6995.3 6.9953 4.0000 20.000
8160.0 258.0 742.0 17.899 1816.5 3814.6 5633.2 160.0 840.0 7068.6 7.0686 4.0000 20.000
8280.0 251.0 749.0 18.039 1781.1 3777.5 5563.2 164.0 836.0 7139.1 7.1391 3.8000 19.000
8400.0 246.0 754.0 18.191 1773.8 3758.9 5536.7 165.0 835.0 7207.9 7.2079 3.8000 19.000
8520.0 240.0 760.0 18.360 1751.3 3786.8 5542.8 172.0 828.0 7277.0 7.2770 3.8000 19.000
8640.0 238.0 762.0 18.559 1722.6 3823.9 5550.2 182.0 818.0 7347.6 7.3476 4.0000 20.000
8760.0 227.0 773.0 18.790 1687.3 3888.8 5576.3 187.0 813.0 7418.2 7.4182 4.0000 20.000
8880.0 223.0 777.0 19.046 1679.8 3898.1 5577.1 194.0 806.0 7487.9 7.4879 4.0000 20.000
9000.0 220.0 780.0 19.325 1650.9 3963.1 5606.1 198.0 802.0 7557.9 7.5579 4.0000 20.000
9120.0 220.0 780.0 19.636 1595.7 3823.9 5418.7 210.0 790.0 7627.0 7.6270 4.0000 20.000
9240.0 217.0 783.0 19.990 1540.0 3805.3 5344.7 215.0 785.0 7693.3 7.6933 4.0000 20.000
9360.0 215.0 785.0 20.372 1517.1 3768.2 5288.3 219.0 781.0 7757.9 7.7579 3.8000 19.000
9480.0 217.0 783.0 20.756 1531.5 3777.5 5313.0 222.0 778.0 7821.6 7.8216 3.8000 19.000
9600.0 215.0 785.0 21.166 1512.4 3749.6 5259.8 229.0 771.0 7884.1 7.8841 3.8000 19.000
9720.0 215.0 785.0 21.589 1493.3 3721.8 5213.3 229.0 772.0 7946.4 7.9464 3.8000 19.000
9840.0 220.0 780.0 22.025 1477.8 3749.6 5227.2 236.0 764.0 8006.5 8.0065 3.8000 19.000
9960.0 224.0 776.0 22.471 1484.6 3740.3 5230.3 234.0 766.0 8065.5 8.0655 3.8000 19.000
10080 221.0 779.0 22.921 1502.8 3796.0 5293.6 235.0 765.0 8125.5 8.1255 3.8000 19.000
10200 219.0 781.0 23.369 1475.1 3768.2 5240.2 238.0 762.0 8187.5 8.1875 3.8000 19.000
10320 213.0 787.0 23.843 1454.8 3796.0 5251.7 244.0 756.0 8247.7 8.2477 3.8000 19.000
10440 206.0 794.0 24.330 1430.0 3833.2 5269.1 248.0 752.0 8305.9 8.3059 4.0000 20.000
10560 206.0 794.0 24.842 1433.1 3870.3 5300.3 252.0 748.0 8365.7 8.3657 4.0000 20.000
10680 210.0 790.0 25.363 1429.5 3768.2 5193.7 249.0 751.0 8426.2 8.4262 3.8000 19.000
10800 221.0 779.0 25.872 1441.7 3693.9 5136.1 252.0 748.0 8487.3 8.4873 3.8000 19.000
10920 228.0 772.0 26.396 1469.3 3582.6 5045.8 255.0 745.0 8547.5 8.5475 3.6000 18.000
11040 240.0 760.0 26.936 1492.4 3536.2 5027.8 264.0 736.0 8607.7 8.6077 3.6000 18.000
